OCC_CLS,PRIM_OCC,PROP_ADDR,PROP_CITY,PROP_ST,PROP_ZIP,LONGITUDE,LATITUDE
Residential,Manufactured Home,74 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.8927353,41.72962374
Residential,Single Family Dwelling,20 MAHAR DRIVE,POUGHKEEPSIE,New York,12601,-73.91432932,41.72985882
Commercial,Parking,81 COTTAGE ROAD,POUGHKEEPSIE,New York,12601,-73.9086705,41.72984707
Residential,Single Family Dwelling,214 CREEK ROAD,POUGHKEEPSIE,New York,12601,-73.90259885,41.72974267
Residential,Manufactured Home,105 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89195481,41.72964476
Residential,Manufactured Home,27 VISTA LANE,POUGHKEEPSIE,New York,12603,-73.88989877,41.72961745
Residential,Manufactured Home,72 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89298718,41.72967462
Residential,Single Family Dwelling,192 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84369138,41.72922074
Commercial,Retail Trade,42 WINSLOW GATE ROAD,POUGHKEEPSIE,New York,12601,-73.93031611,41.72959651
Residential,Single Family Dwelling,205 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84215225,41.72921382
Residential,Manufactured Home,6 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88843398,41.72967494
Residential,Manufactured Home,17 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.89072358,41.72968359
Residential,Manufactured Home,1 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88912577,41.72970014
Residential,Manufactured Home,89 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89410897,41.72973732
Residential,Single Family Dwelling,5 CORINE DRIVE,POUGHKEEPSIE,New York,12601,-73.89855342,41.72982739
Residential,Single Family Dwelling,190 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84389969,41.72929199
Residential,Single Family Dwelling,25 PINE ECHO DRIVE,POUGHKEEPSIE,New York,12601,-73.90085583,41.72985454
Residential,Manufactured Home,15 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.89050978,41.7297471
Residential,Single Family Dwelling,5 THAMES ROAD,POUGHKEEPSIE,New York,12603,-73.84697779,41.72935985
Residential,Manufactured Home,13 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.89026005,41.72981054
Residential,Single Family Dwelling,186 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84444346,41.72936283
Residential,Multi - Family Dwelling,8 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91139498,41.73004842
Residential,Single Family Dwelling,3 CORINE DRIVE,POUGHKEEPSIE,New York,12601,-73.89892414,41.72990752
Residential,Manufactured Home,1 DELRAY CIRCLE,POUGHKEEPSIE,New York,12603,-73.89158226,41.72980149
Residential,Manufactured Home,103 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89211769,41.72981161
Residential,Single Family Dwelling,188 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84411733,41.72938101
Residential,Manufactured Home,91 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89388455,41.72984124
Residential,Single Family Dwelling,27 PINE ECHO DRIVE,POUGHKEEPSIE,New York,12601,-73.90045009,41.72995569
Residential,Single Family Dwelling,184 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84470048,41.72940061
Residential,Manufactured Home,8 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88834493,41.72983968
Residential,Multi - Family Dwelling,265 VIOLET AVENUE,POUGHKEEPSIE,New York,12601,-73.91088673,41.73001435
Residential,Single Family Dwelling,203 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84243085,41.72937864
Residential,Manufactured Home,3 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88901624,41.72984971
Commercial,Parking,81 COTTAGE ROAD,POUGHKEEPSIE,New York,12601,-73.90908357,41.73009588
Residential,Manufactured Home,93 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89373489,41.72993179
Residential,Single Family Dwelling,1 CORINE DRIVE,POUGHKEEPSIE,New York,12601,-73.89943379,41.73003224
Residential,Manufactured Home,101 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89229561,41.72993356
Residential,Single Family Dwelling,637 VAN WAGNER ROAD,POUGHKEEPSIE,New York,12603,-73.86331652,41.72966541
Residential,Manufactured Home,8 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88947352,41.72991518
Residential,Single Family Dwelling,201 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84283813,41.72951849
Residential,Single Family Dwelling,203 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84231137,41.72952416
Residential,Single Family Dwelling,24 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91282412,41.73023311
Residential,Single Family Dwelling,28 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91338002,41.73025286
Residential,Manufactured Home,95 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.8935272,41.73002044
Residential,Single Family Dwelling,26 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91311379,41.73024656
Residential,Multi - Family Dwelling,6 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91132006,41.73024316
Residential,Single Family Dwelling,18 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91224445,41.7302372
Residential,Single Family Dwelling,30 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91368593,41.73026916
Residential,Multi - Family Dwelling,14 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91193884,41.73024912
Residential,Single Family Dwelling,32 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91400828,41.73028451
Residential,Single Family Dwelling,34 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91429666,41.73028829
Residential,Manufactured Home,5 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88894164,41.7300003
Residential,Single Family Dwelling,180 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84521558,41.7295853
Residential,Manufactured Home,10 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88827954,41.7300103
Residential,Single Family Dwelling,42 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91542347,41.73028032
Residential,Single Family Dwelling,36 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91480294,41.73030049
Residential,Single Family Dwelling,38 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91508747,41.73030291
Residential,Multi - Family Dwelling,12 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91161091,41.73025846
Residential,Manufactured Home,97 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89324861,41.73007581
Residential,Single Family Dwelling,44 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91569117,41.73032986
Residential,Manufactured Home,6 DELRAY CIRCLE,POUGHKEEPSIE,New York,12603,-73.89090429,41.73006068
Residential,Manufactured Home,2 DELRAY CIRCLE,POUGHKEEPSIE,New York,12603,-73.89188915,41.73006075
Residential,Single Family Dwelling,48 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91632053,41.73032525
Residential,Single Family Dwelling,46 BAHRET AVENUE,POUGHKEEPSIE,New York,12601,-73.91604925,41.73035833
Residential,Single Family Dwelling,108 STRATFORD DRIVE,POUGHKEEPSIE,New York,12603,-73.84784908,41.72967351
Commercial,Retail Trade,10 WINSLOW GATE ROAD,POUGHKEEPSIE,New York,12601,-73.92835462,41.72982455
Residential,Single Family Dwelling,195 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84333877,41.72968932
Residential,Single Family Dwelling,178 BOWER ROAD,POUGHKEEPSIE,New York,12603,-73.84541808,41.72971892
Residential,Manufactured Home,99 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89238336,41.73014317
Residential,Manufactured Home,10 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88977652,41.73012079
Residential,Manufactured Home,12 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88822482,41.73016996
Residential,Manufactured Home,3 DELRAY CIRCLE,POUGHKEEPSIE,New York,12603,-73.89168882,41.73018555
Residential,Manufactured Home,7 BISCAYNE BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88885643,41.73019015
Residential,Manufactured Home,12 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.88999879,41.73018273
Commercial,Retail Trade,52 HUDSON VIEW DRIVE,POUGHKEEPSIE,New York,12601,-73.92875213,41.73059229
Residential,Manufactured Home,14 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.89029238,41.73021192
Residential,Manufactured Home,16 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.89057795,41.73022064
Residential,Manufactured Home,4 DELRAY CIRCLE,POUGHKEEPSIE,New York,12603,-73.8914903,41.73023373
